"","AirPtCd","mean_error","TrueValGreater","longitude","latitude","city","AbsError","SquaredErrorAvg","dists","latDists","season","measure"
"1","KAAO",-0.461224489795918,FALSE,-97.2833,37.7167,"Wichita",0.461224489795918,13.6040816326531,5266.59775470213,0.0295239000000009,"spring","max"
"2","KACY",5.44308943089431,TRUE,-74.4167,39.3667,"Atlantic City",5.44308943089431,57.3048780487805,599.93741711374,0.00241660000000365,"spring","max"
"3","KAGC",0.707317073170732,TRUE,-79.95,40.45,"Pittsburgh",0.707317073170732,16.9593495934959,4029.64340864347,0.00937520000000092,"spring","max"
"4","KALB",1.15918367346939,TRUE,-73.75,42.6667,"Albany",1.15918367346939,16.4897959183673,1649.72808632176,0.0141206999999994,"spring","max"
"5","KAMA",0.0975609756097561,TRUE,-101.833,35.1833,"Amarillo",0.0975609756097561,18.9593495934959,4296.02258861715,-0.0386971000000003,"spring","max"
"6","KANJ",2.57723577235772,TRUE,-84.35,46.5,"Sault Ste Marie",2.57723577235772,20.0081300813008,314.657236354513,0.00228849999999881,"spring","max"
"7","KART",1.89430894308943,TRUE,-75.9167,43.9667,"Watertown",1.89430894308943,19.1626016260163,1016.97731047178,-0.00808379999999431,"spring","max"
"8","KATL",1.69387755102041,TRUE,-84.3833,33.75,"Atlanta",1.69387755102041,14.3469387755102,447.929088641602,0.00100460000000169,"spring","max"
"9","KAVP",2.36178861788618,TRUE,-75.65,41.4,"Scranton",2.36178861788618,23.7032520325203,1438.56222593147,-0.00896900000000045,"spring","max"
"10","KBAD",-0.979508196721312,FALSE,-93.7,32.4667,"Shreveport",0.979508196721312,15.3401639344262,8015.98116626834,-0.0584515999999979,"spring","max"
"11","KBFI",1.04065040650407,TRUE,-122.333,47.6167,"Seattle",1.04065040650407,10.219512195122,1168.45307858863,0.0104905000000031,"spring","max"
"12","KBFM",0.0816326530612245,TRUE,-88.05,30.7,"Mobile",0.0816326530612245,10.5877551020408,1096.30931383149,0.00463429999999931,"spring","max"
"13","KBGR",1.34146341463415,TRUE,-68.7833,44.8,"Bangor",1.34146341463415,17.8048780487805,971.980275400585,-0.00161280000000374,"spring","max"
"14","KBHB",3.32926829268293,TRUE,-66.99,44.91,"Eastport",3.32926829268293,31.7113821138211,423.341956190268,0.00380939999999441,"spring","max"
"15","KBHM",0.414634146341463,TRUE,-86.8333,33.5,"Birmingham",0.414634146341463,12.7886178861789,3666.84605322906,-0.0206608000000017,"spring","max"
