"","X","city","state","longitude","latitude","AirPtCd","citstate","citylons","citylats","newairlon","newairlat","distance","latDist"
"1",1,"Eastport","Maine",-66.99,44.91,"KBHB","Eastport Maine",-66.9899785,44.9061906,-68.3621,44.445,120260.720629053,-0.461190600000002
"2",2,"Bangor","Maine",-68.7833,44.8,"KBGR","Bangor Maine",-68.7712257,44.8016128,-68.823274,44.8069263,4159.91268588021,0.00531349999999975
"3",3,"Portland","Maine",-70.25,43.6667,"KPWM","Portland Maine",-70.2568189,43.6590993,-70.3096974,43.6464785,4490.39529758157,-0.0126208000000005
"4",4,"Boston","Massachusetts",-71.0833,42.35,"KBOS","Boston Massachusetts",-71.0588801,42.3600825,-71.0095602,42.3656132,4109.08097340362,0.00553070000000133
"5",5,"Providence","Rhode Island",-71.4,41.8333,"KPVD","Providence Rhode Island",-71.4128343,41.8239891,-71.4304062,41.7245271,11143.3232933792,-0.0994619999999955
"6",6,"Manchester","New Hampshire",-71.5,43,"KMHT","Manchester New Hampshire",-71.4547891,42.9956397,-71.4352,42.9297,7497.7063823254,-0.0659397000000013
"7",7,"Montpelier","Vermont",-72.5333,44.25,"KMPV","Montpelier Vermont",-72.5753869,44.2600593,-72.5635907,44.2031184,6396.89325595758,-0.0569409000000007
"8",8,"Springfield","Massachusetts",-72.5667,42.1,"KCEF","Springfield Massachusetts",-72.589811,42.1014831,-72.5438059,42.1991064,11491.0304227003,0.0976233000000093
"9",9,"New Haven","Connecticut",-72.9167,41.3167,"KHVN","New Haven Connecticut",-72.9278835,41.308274,-72.8869,41.2679,5647.26931987653,-0.0403739999999999
"10",10,"Albany","New York",-73.75,42.6667,"KALB","Albany New York",-73.7562317,42.6525793,-73.8055,42.7487,11415.3570442658,0.0961207000000002
"11",11,"New York","New York",-73.9667,40.7833,"KNYC","New York New York",-74.0059728,40.7127753,-73.7781391,40.6413111,20832.8291395203,-0.0714641999999941
"12",12,"Atlantic City","New Jersey",-74.4167,39.3667,"KACY","Atlantic City New Jersey",-74.4229266,39.3642834,-74.5725117,39.4557779,16405.923994303,0.0914945000000031
"13",13,"Philadelphia","Pennsylvania",-75.1667,39.95,"KPHL","Philadelphia Pennsylvania",-75.1652215,39.9525839,-75.2424229,39.8743959,10905.8943380862,-0.0781879999999973
"14",14,"Dover","Delaware",-75.5267,39.1619,"KDOV","Dover Delaware",-75.5243682,39.158168,-75.4684,39.1277,5903.63695752883,-0.0304680000000062
"15",15,"Scranton","Pennsylvania",-75.65,41.4,"KAVP","Scranton Pennsylvania",-75.6624122,41.408969,-75.7246404,41.3379327,9452.18302569523,-0.0710362999999958
"16",16,"Watertown","New York",-75.9167,43.9667,"KART","Watertown New York",-75.9107565,43.9747838,-76.0224,43.9957,9253.32201726369,0.020916200000002
"17",17,"Syracuse","New York",-76.1333,43.0333,"KSYR","Syracuse New York",-76.1474244,43.0481221,-76.1101888,43.1139301,7914.77236044617,0.065807999999997
"18",18,"Baltimore","Maryland",-76.6333,39.3,"KDMH","Baltimore Maryland",-76.6121893,39.2903848,-76.5389888,39.317627,7000.88239770182,0.0272422000000034
"19",19,"Richmond","Virginia",-77.4833,37.55,"KOFP","Richmond Virginia",-77.4360481,37.5407246,-77.436203,37.70809,18575.7872819406,0.167365400000001
"20",20,"Wilmington","North Carolina",-77.95,34.2333,"KILM","Wilmington North Carolina",-77.9447102,34.2257255,-77.9105201,34.2668931,5547.3511847328,0.0411675999999943
