"","city","state","longitude","latitude","AirPtCd","citstate","citylons","citylats"
"1","Eastport","Maine",-66.99,44.91,"KBHB","Eastport Maine",-66.9899785,44.9061906
"2","Bangor","Maine",-68.7833,44.8,"KBGR","Bangor Maine",-68.7712257,44.8016128
"3","Portland","Maine",-70.25,43.6667,"KPWM","Portland Maine",-70.2568189,43.6590993
"4","Boston","Massachusetts",-71.0833,42.35,"KBOS","Boston Massachusetts",-71.0588801,42.3600825
"5","Providence","Rhode Island",-71.4,41.8333,"KPVD","Providence Rhode Island",-71.4128343,41.8239891
"6","Manchester","New Hampshire",-71.5,43,"KMHT","Manchester New Hampshire",-71.4547891,42.9956397
"7","Montpelier","Vermont",-72.5333,44.25,"KMPV","Montpelier Vermont",-72.5753869,44.2600593
"8","Springfield","Massachusetts",-72.5667,42.1,"KCEF","Springfield Massachusetts",-72.589811,42.1014831
"9","New Haven","Connecticut",-72.9167,41.3167,"KHVN","New Haven Connecticut",-72.9278835,41.308274
"10","Albany","New York",-73.75,42.6667,"KALB","Albany New York",-73.7562317,42.6525793
"11","New York","New York",-73.9667,40.7833,"KNYC","New York New York",-74.0059728,40.7127753
"12","Atlantic City","New Jersey",-74.4167,39.3667,"KACY","Atlantic City New Jersey",-74.4229266,39.3642834
"13","Philadelphia","Pennsylvania",-75.1667,39.95,"KPHL","Philadelphia Pennsylvania",-75.1652215,39.9525839
"14","Dover","Delaware",-75.5267,39.1619,"KDOV","Dover Delaware",-75.5243682,39.158168
"15","Scranton","Pennsylvania",-75.65,41.4,"KAVP","Scranton Pennsylvania",-75.6624122,41.408969
"16","Watertown","New York",-75.9167,43.9667,"KART","Watertown New York",-75.9107565,43.9747838
"17","Syracuse","New York",-76.1333,43.0333,"KSYR","Syracuse New York",-76.1474244,43.0481221
"18","Baltimore","Maryland",-76.6333,39.3,"KDMH","Baltimore Maryland",-76.6121893,39.2903848
"19","Richmond","Virginia",-77.4833,37.55,"KOFP","Richmond Virginia",-77.4360481,37.5407246
"20","Wilmington","North Carolina",-77.95,34.2333,"KILM","Wilmington North Carolina",-77.9447102,34.2257255
"21","Raleigh","North Carolina",-78.65,35.7667,"KRDU","Raleigh North Carolina",-78.6381787,35.7795897
"22","Buffalo","New York",-78.8333,42.9167,"KBUF","Buffalo New York",-78.8783689,42.8864468
"23","Charleston","South Carolina",-79.9333,32.7833,"KCHS","Charleston South Carolina",-79.9310512,32.7764749
"24","Pittsburgh","Pennsylvania",-79.95,40.45,"KAGC","Pittsburgh Pennsylvania",-79.9958864,40.4406248
"25","Roanoke","Virginia",-79.95,37.2833,"KROA","Roanoke Virginia",-79.9414266,37.2709704
"26","Miami","Florida",-80.2,25.7667,"KMIA","Miami Florida",-80.1917902,25.7616798
"27","Charlotte","North Carolina",-80.8333,35.2333,"KCLT","Charlotte North Carolina",-80.8431267,35.2270869
"28","Columbia","South Carolina",-81.0333,34,"KCUB","Columbia South Carolina",-81.0348144,34.0007104
"29","Savannah","Georgia",-81.0833,32.0833,"KSVN","Savannah Georgia",-81.091203,32.0808989
"30","Cleveland","Ohio",-81.6167,41.4667,"KBKL","Cleveland Ohio",-81.6943605,41.49932
"31","Charleston","West Virginia",-81.6333,38.35,"KCRW","Charleston West Virginia",-81.6326234,38.3498195
"32","Jacksonville","Florida",-81.6667,30.3667,"KNIP","Jacksonville Florida",-81.655651,30.3321838
"33","Key West","Florida",-81.8,24.55,"KEYW","Key West Florida",-81.7799871,24.5550593
"34","Tampa","Florida",-82.45,27.95,"KTPA","Tampa Florida",-82.4571776,27.950575
"35","Columbus","Ohio",-83.0167,40,"KOSU","Columbus Ohio",-82.9987942,39.9611755
"36","Detroit","Michigan",-83.05,42.3333,"KDET","Detroit Michigan",-83.0457538,42.331427
"37","Knoxville","Tennessee",-83.9333,35.95,"KTYS","Knoxville Tennessee",-83.9207392,35.9606384
"38","Sault Ste Marie","Michigan",-84.35,46.5,"KANJ","Sault Ste Marie Michigan",-84.3475876,46.4977115
"39","Atlanta","Georgia",-84.3833,33.75,"KATL","Atlanta Georgia",-84.3879824,33.7489954
"40","Cincinnati","Ohio",-84.5,39.1333,"KLUK","Cincinnati Ohio",-84.5120196,39.1031182
"41","Grand Rapids","Michigan",-85.6667,42.9667,"KGRR","Grand Rapids Michigan",-85.6680863,42.9633599
"42","Louisville","Kentucky",-85.7667,38.25,"KSDF","Louisville Kentucky",-85.7584557,38.2526647
